An Update on Feline Calicivirus,10.17236/SAT00346
Long-term analysis of feline calicivirus prevalence and viral shedding patterns in naturally infected colonies of domestic cats,https://www.sciencedirect.com/science/article/pii/S0378113506002598?via%3Dihub
" Feline Calicivirus Virulent Systemic Disease: Clinical Epidemiology, Analysis of Viral Isolates and In Vitro Efficacy of Novel Antivirals in Australian Outbreaks ",https://www.mdpi.com/1999-4915/13/10/2040
Assessment of the IFN-β response to four feline caliciviruses: Infection in CRFK cells,https://www.sciencedirect.com/science/article/abs/pii/S156713481500235X?via%3Dihub
Genetic diversity and phenotypic associations of feline caliciviruses from cats in Switzerland,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/jgv.0.000622
An isolated epizootic of hemorrhagic-like fever in cats caused by a novel and highly virulent strain of feline calicivirus,https://www.sciencedirect.com/science/article/pii/S0378113500001838?via%3Dihub
 Feline respiratory infections--a clinical review ,https://pubmed.ncbi.nlm.nih.gov/177166/
An efficient method for the selective isolation of feline herpesvirus 1(FHV-1) in feline calicivirus (FCV) coinfected specimens,https://link.springer.com/article/10.1186/s12917-025-04786-w
Sustained circulation of genotype I and the first whole-genome sequencing of feline calicivirus in Turkish cats,https://link.springer.com/article/10.1186/s12917-026-05352-8
Natural cases of polyarthritis associated with feline calicivirus infection in cats,https://link.springer.com/article/10.1007/s11259-022-09933-4
Transmission of feline calicivirus via the cat flea (Ctenocephalides felis),https://link.springer.com/article/10.1007/s00436-009-1381-5
Development and application of a dual ERA method for the detection of Feline Calicivirus and Feline Herpesvirus Type I,https://link.springer.com/article/10.1186/s12985-023-02020-3
 Molecular Characterization and Cross-Reactivity of Feline Calicivirus Circulating in Southwestern China ,https://www.mdpi.com/1999-4915/13/9/1812
Transcriptome analysis of Crandell Rees Feline Kidney (CRFK) cells infected with Feline calicivirus strain 023 (FCV 023),https://www.sciencedirect.com/science/article/abs/pii/S0042682225003307?via%3Dihub
Conserved Surface Residues on the Feline Calicivirus Capsid Are Essential for Interaction with Its Receptor Feline Junctional Adhesion Molecule A (fJAM-A),https://journals.asm.org/doi/10.1128/jvi.00035-18
The CDE region of feline Calicivirus VP1 protein is a potential candidate subunit vaccine,https://link.springer.com/article/10.1186/s12917-024-03914-2
Broad-Spectrum Inhibitors against 3C-Like Proteases of Feline Coronaviruses and Feline Caliciviruses,https://journals.asm.org/doi/10.1128/jvi.03688-14
Temporally separated feline calicivirus isolates do not cluster phylogenetically and are similarly neutralised by high-titre vaccine strain FCV-F9 antisera in vitro,https://journals.sagepub.com/doi/10.1177/1098612X19866521
"Sampling sites for detection of feline herpesvirus-1, feline calicivirus and Chlamydia felis in cats with feline upper respiratory tract disease",https://journals.sagepub.com/doi/10.1177/1098612X15569615
European molecular epidemiology and strain diversity of feline calicivirus,https://bvajournals.onlinelibrary.wiley.com/doi/10.1136/vr.103446
Prevalence of feline calicivirus in cats with odontoclastic resorptive lesions and chronic gingivostomatitis,https://www.sciencedirect.com/science/article/abs/pii/S0034528816301886?via%3Dihub
"Onset of immunity in kittens after vaccination with a non-adjuvanted vaccine against feline panleucopenia, feline calicivirus and feline herpesvirus",https://www.sciencedirect.com/science/article/abs/pii/S1090023308002104?via%3Dihub
 Biological Characteristics of Feline Calicivirus Epidemic Strains in China and Screening of Broad-Spectrum Protective Vaccine Strains ,https://www.mdpi.com/2076-393X/11/12/1858
Establishment and application of ERA-LFD method for rapid detection of feline calicivirus,https://link.springer.com/article/10.1007/s00253-022-11785-6
Feline Respiratory Disease Complex,https://www.sciencedirect.com/science/article/abs/pii/S0195561611001380?via%3Dihub
Virulent systemic feline calicivirus infection: Local cytokine modulation and contribution of viral mutants,https://journals.sagepub.com/doi/10.1016/j.jfms.2005.08.002
" Molecular Characterization and Phylogenetic Analysis of Feline Calicivirus Isolated in Guangdong Province, China from 2018 to 2022 ",https://www.mdpi.com/1999-4915/14/11/2421
A Virulent Systemic Feline Calicivirus Strain Isolated in China Could Produce Broadly Neutralizing Antibodies Against Multiple Strains,https://onlinelibrary.wiley.com/doi/10.1155/tbed/6853477
Identification of Feline Interferon Regulatory Factor 1 as an Efficient Antiviral Factor against the Replication of Feline Calicivirus and Other Feline Viruses,https://onlinelibrary.wiley.com/doi/10.1155/2018/2739830
The pathway of feline calicivirus entry,https://www.sciencedirect.com/science/article/abs/pii/016817029400077P?via%3Dihub
The mitochondrial pathway of apoptosis is triggered during feline calicivirus infection,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.81399-0
Distribution and genetic diversity of Feline calicivirus in Moscow metropolitan area ,https://vetsci.org/DOIx.php?id=10.4142/jvs.22182
Results of molecular diagnostic assays targeting feline herpesvirus-1 and feline calicivirus in adult cats administered modified live vaccines,https://journals.sagepub.com/doi/10.1016/j.jfms.2010.12.010
Co-circulation and evolution of genogroups I and II of respiratory and enteric feline calicivirus isolates in cats,https://onlinelibrary.wiley.com/doi/10.1111/tbed.14447
 Feline Foamy Virus-Based Vectors: Advantages of an Authentic Animal Model ,https://www.mdpi.com/1999-4915/5/7/1702
Immunological and Genetic Characterization of Feline Caliciviruses Used in the Development of a New Trivalent Inactivated Vaccine in Japan,https://www.jstage.jst.go.jp/article/jvms/72/9/72_09-0436/_article
 Screening and Immune Efficacy Evaluation of Antigens with Protection Against Feline Calicivirus ,https://www.mdpi.com/2076-393X/12/11/1205
 Environmental Contamination and Hygienic Measures After Feline Calicivirus Field Strain Infections of Cats in a Research Facility ,https://www.mdpi.com/1999-4915/11/10/958
 Molecular and clinical study on prevalence of feline herpesvirus type 1 and calicivirus in correlation with feline leukemia and immunodeficiency viruses ,https://pubmed.ncbi.nlm.nih.gov/25610576/
 Molecular and clinical study on prevalence of feline herpesvirus type 1 and calicivirus in correlation with feline leukemia and immunodeficiency viruses ,https://pubmed.ncbi.nlm.nih.gov/25610576/
Isolation and identification of feline calicivirus and feline herpesvirus in Southern Brazil ,https://www.scielo.br/j/bjm/a/83Vd8SWPVrfmmpYZCDwKykx/?lang=en
Virulent feline calicivirus disease in a shelter in italy: A case description,https://www.sciencedirect.com/science/article/pii/S0034528813000271?via%3Dihub
Genetic Analysis of Feline Caliciviruses Associated with a Hemorrhagic-Like Disease,https://journals.sagepub.com/doi/10.1177/104063870501700503
Characterization of a strain of feline calicivirus isolated from a dog faecal sample,https://www.sciencedirect.com/science/article/abs/pii/S0378113509002508?via%3Dihub
 Antibody Response to Feline Calicivirus Vaccination in Healthy Adult Cats ,https://www.mdpi.com/1999-4915/11/8/702
 Feline ocular and respiratory infections: a retrospective analysis of clinical cases submitted to Georgia Veterinary Diagnostic Laboratories (2012-2022) ,https://pubmed.ncbi.nlm.nih.gov/40078714/
Demonstration of Feline corona virus (FCV) antigen in organs of cats suspected of feline infectious peritonitis (FIP) disease,https://onlinelibrary.wiley.com/doi/10.1111/j.1699-0463.1990.tb04985.x
A dual-strain feline calicivirus vaccine stimulates broader cross-neutralization antibodies than a single-strain vaccine and lessens clinical signs in vaccinated cats when challenged with a homologous feline calicivirus strain associated with virulent systemic disease,https://journals.sagepub.com/doi/10.1016/j.jfms.2009.08.006
 In Vitro Antiviral and Virucidal Activity of Ozone against Feline Calicivirus ,https://www.mdpi.com/2076-2615/14/5/682
 Fecal shedding of feline coronavirus in adult cats and kittens in an Abyssinian cattery ,https://pubmed.ncbi.nlm.nih.gov/10511857/
Feline Herpesvirus Infection: ABCD Guidelines on Prevention and Management,https://journals.sagepub.com/doi/10.1016/j.jfms.2009.05.003
Construction of Reverse Genetics System for Feline Calicivirus FCV-BJ616 and Proteomic Analysis,https://onlinelibrary.wiley.com/doi/10.1002/mbo3.70226
Genogrouping of Vaccine Breakdown Strains (VBS) of Feline Calicivirus in Japan,https://link.springer.com/article/10.1007/s11259-007-3454-1
"Combined administration in a single injection of a feline multivalent modified live vaccine against FHV, FCV, and FPLV together with a recombinant FeLV vaccine is both safe and efficacious for all four major feline viral pathogens",https://journals.sagepub.com/doi/10.1016/j.jfms.2008.02.001
 Two Multiplex PCR Methods for Detecting Several Pathogens Associated with Feline Respiratory and Intestinal Tracts ,https://www.mdpi.com/2306-7381/10/1/14
 Duration of serologic response to three viral antigens in cats ,https://avmajournals.avma.org/view/journals/javma/224/1/javma.2004.224.61.xml
Identification of Regions and Residues in Feline Junctional Adhesion Molecule Required for Feline Calicivirus Binding and Infection,https://journals.asm.org/doi/10.1128/jvi.01509-07
Clinical update on feline respiratory pathogens,https://bvajournals.onlinelibrary.wiley.com/doi/10.1136/inpract.26.6.320
"Detection of feline calicivirus, feline herpesvirus 1 and Chlamydia psittaci mucosal swabs by multiplex RT-PCR/PCR",https://www.sciencedirect.com/science/article/abs/pii/S0378113501003406?via%3Dihub
Comparative efficacy of the Leucofeligen™ FeLV/RCP and Purevax™ RCP FeLV vaccines against infection with circulating feline Calicivirus,https://link.springer.com/article/10.1186/s12917-017-1217-y
Feline calicivirus-associated virulent systemic disease: not necessarily a local epizootic problem,https://bvajournals.onlinelibrary.wiley.com/doi/10.1136/vr.d160
Three-year duration of immunity for feline herpesvirus and calicivirus evaluated in a controlled vaccination-challenge laboratory trial,https://www.sciencedirect.com/science/article/abs/pii/S0378113515001133?via%3Dihub
Recent Epidemiological Status of Feline Upper Respiratory Infections in Japan,https://www.jstage.jst.go.jp/article/jvms/62/7/62_7_801/_article
Evaluating triple inactivated vaccine-induced immunity from a large-scale study in feline population,https://www.nature.com/articles/s41598-025-31671-1
Antiviral effect of mefloquine on feline calicivirus in vitro,https://www.sciencedirect.com/science/article/pii/S0378113515000620?via%3Dihub
 N-Terminal Domain of Feline Calicivirus (FCV) Proteinase-Polymerase Contributes to the Inhibition of Host Cell Transcription ,https://www.mdpi.com/1999-4915/8/7/199
Genetic Characterization of 2 Novel Feline Caliciviruses Isolated from Cats with Idiopathic Lower Urinary Tract Disease,https://academic.oup.com/jvim/article/16/3/293/8453319?login=false
An epizootic of highly virulent feline calicivirus disease in a hospital setting in New England,https://journals.sagepub.com/doi/10.1016/S1098-612X%2803%2900008-1
"Pathologic, Immunohistochemical, and Electron Microscopic Findings in Naturally Occurring Virulent Systemic Feline Calicivirus Infection in Cats",https://journals.sagepub.com/doi/10.1354/vp.41-3-257
" Isolation, Identification, and Genetic Evolution Analysis of VP1 Gene of Feline Calicivirus Strain ZZ202306 ",https://www.mdpi.com/1422-0067/26/6/2565
"Comparison between acute oral/respiratory and chronic stomatitis/gingivitis isolates of feline calicivirus: pathogenicity, antigenic profile and cross-neutralisation studies",https://link.springer.com/article/10.1007/s007050050021
"Molecular epidemiology and phylogenetic analysis of feline calicivirus in Kunshan, China",https://link.springer.com/article/10.1186/s12985-024-02319-9
Feline chronic gingivostomatitis: current concepts in clinical management,https://journals.sagepub.com/doi/10.1177/1098612X231186834
Early interaction of feline calicivirus with cells in culture,https://link.springer.com/article/10.1007/BF01538814
"Feline panleukopenia virus, feline herpesvirus-1 and feline calicivirus antibody responses in seronegative specific pathogen-free kittens after parenteral administration of an inactivated FVRCP vaccine or a modified live FVRCP vaccine",https://journals.sagepub.com/doi/10.1177/1098612X11432240
"Isolation and phylogenetic analysis of three feline calicivirus strains from domestic cats in Jilin Province, China",https://link.springer.com/article/10.1007/s00705-017-3392-3
Genetic and antigenic heterogeneity among feline calicivirus isolates from distinct disease manifestations,https://www.sciencedirect.com/science/article/abs/pii/S0168170297014408?via%3Dihub
"Development and application of a multiplex PCR method for the simultaneous detection and differentiation of feline panleukopenia virus, feline bocavirus, and feline astrovirus",https://link.springer.com/article/10.1007/s00705-019-04394-8
"Isolation and phylogenetic analysis of strains of feline calicivirus in Beijing, China",https://link.springer.com/article/10.1007/s00705-021-05163-2
Studies on the role of feline calicivirus in chronic stomatitis in cats,https://www.sciencedirect.com/science/article/abs/pii/0378113591901489?via%3Dihub
 Unlocking the secrets of Feline calicivirus: advances in structural and nonstructural proteins and its role as a key model for other Caliciviruses ,https://pubmed.ncbi.nlm.nih.gov/40399981/
 Novel Strain-Based Triple Inactivated Vaccine Confers Rapid Neutralizing Immunity to Feline Multisystemic Pathogens With Two-Dose Regimen ,https://pubmed.ncbi.nlm.nih.gov/40822450/
"Association of Bartonella species, feline calicivirus, and feline herpesvirus 1 infection with gingivostomatitis in cats",https://journals.sagepub.com/doi/10.1016/j.jfms.2009.10.007
Limited efficacy of topical recombinant feline interferon-omega for treatment of cats with acute upper respiratory viral disease,https://www.sciencedirect.com/science/article/abs/pii/S1090023314003992?via%3Dihub
 Feline herpesvirus and calicivirus: Occurrence and pathology in cats with respiratory disease ,https://pubmed.ncbi.nlm.nih.gov/41015115/
Feline calicivirus replication induces apoptosis in cultured cells,https://www.sciencedirect.com/science/article/abs/pii/S0168170203001151?via%3Dihub
Serological analysis of feline calicivirus isolates from the United States and United Kingdom,https://www.sciencedirect.com/science/article/abs/pii/S0378113596012527?via%3Dihub
Discovery of a novel genogroup feline calicivirus through molecular evolution in group-housed cats in China,https://www.nature.com/articles/s41598-025-03585-5
"Prevalence of serum antibody titres against feline panleukopenia, herpesvirus and calicivirus infections in stray cats of Milan, Italy",https://www.sciencedirect.com/science/article/abs/pii/S0167587718307554?via%3Dihub
 Molecular detection of feline calicivirus (FCV) in cats with oral lesions ,https://dergipark.org.tr/en/pub/meditvetj/article/1518701
"Chronic oral infections of cats and their relationship to persistent oral carriage of feline calici-, immunodeficiency, or leukemia viruses",https://www.sciencedirect.com/science/article/abs/pii/016524279190048H?via%3Dihub
Inhibitory effects of recombinant feline interferon on the replication of feline enteropathogenic viruses in vitro,https://www.sciencedirect.com/science/article/pii/0378113594900957?via%3Dihub
Detection of Mycoplasma spp. and feline calicivirus in cats with ocular surface disease,https://onlinelibrary.wiley.com/doi/10.1111/vop.13218
"Inactivation of feline calicivirus, a Norwalk virus surrogate",https://www.journalofhospitalinfection.com/article/S0195-6701(99)90037-3/abstract
"Nested Case-Control Study of Feline Calicivirus Viruria, Oral Carriage, and Serum Neutralizing Antibodies in Cats with Idiopathic Cystitis",https://academic.oup.com/jvim/article/25/2/199/8451239?login=false
Transcriptomic analysis of Crandell-Rees feline kidney cell infections with field and vaccine feline calicivirus strains,https://www.sciencedirect.com/science/article/pii/S0168170225001595?via%3Dihub
Feline upper respiratory tract infection and disease in Australia,https://journals.sagepub.com/doi/10.1177/1098612X18813248
Phenotypic and genotypic variation of feline calicivirus during persistent infection of cats,https://www.sciencedirect.com/science/article/abs/pii/S0378113597001582?via%3Dihub
"Prevalence of serum antibody titres against feline panleukopenia, herpesvirus and calicivirus infections in stray cats of Milan, Italy",https://www.sciencedirect.com/science/article/abs/pii/S0167587718307554?via%3Dihub
 Molecular detection of feline calicivirus (FCV) in cats with oral lesions ,https://dergipark.org.tr/en/pub/meditvetj/article/1518701
"Chronic oral infections of cats and their relationship to persistent oral carriage of feline calici-, immunodeficiency, or leukemia viruses",https://www.sciencedirect.com/science/article/abs/pii/016524279190048H?via%3Dihub
Inhibitory effects of recombinant feline interferon on the replication of feline enteropathogenic viruses in vitro,https://www.sciencedirect.com/science/article/pii/0378113594900957?via%3Dihub
Detection of Mycoplasma spp. and feline calicivirus in cats with ocular surface disease,https://onlinelibrary.wiley.com/doi/10.1111/vop.13218
"Inactivation of feline calicivirus, a Norwalk virus surrogate",https://www.journalofhospitalinfection.com/article/S0195-6701(99)90037-3/abstract
"Nested Case-Control Study of Feline Calicivirus Viruria, Oral Carriage, and Serum Neutralizing Antibodies in Cats with Idiopathic Cystitis",https://academic.oup.com/jvim/article/25/2/199/8451239?login=false
Transcriptomic analysis of Crandell-Rees feline kidney cell infections with field and vaccine feline calicivirus strains,https://www.sciencedirect.com/science/article/pii/S0168170225001595?via%3Dihub
Suspected Feline Calicivirus Infection Triggering Ulcerative Oral and Skin Lesions in Cats Following Routine Ovariohysterectomy: A Postoperative Risk Assessment,https://onlinelibrary.wiley.com/doi/10.1002/vms3.70540
